ImageId,Label
1,6
2,0
3,7
4,7
5,3
6,7
7,0
8,3
9,0
10,3
11,3
12,7
13,7
14,0
15,4
16,3
17,3
18,1
19,7
20,0
21,7
22,1
23,8
24,1
25,7
26,7
27,6
28,4
29,7
30,7
31,7
32,1
33,7
34,3
35,6
36,3
37,7
38,7
39,7
40,6
41,7
42,7
43,7
44,4
45,3
46,4
47,1
48,8
49,3
50,1
51,6
52,3
53,8
54,3
55,8
56,6
57,1
58,8
59,1
60,0
61,7
62,1
63,7
64,6
65,0
66,0
67,1
68,7
69,0
70,1
71,6
72,7
73,8
74,8
75,8
76,0
77,3
78,7
79,6
80,3
81,3
82,7
83,1
84,0
85,4
86,1
87,4
88,8
89,6
90,7
91,8
92,0
93,6
94,6
95,8
96,4
97,3
98,7
99,7
100,7
101,0
102,3
103,1
104,0
105,7
106,7
107,0
108,3
109,0
110,4
111,0
112,0
113,6
114,1
115,1
116,8
117,1
118,1
119,3
120,3
121,3
122,7
123,6
124,8
125,1
126,3
127,3
128,7
129,1
130,7
131,3
132,7
133,1
134,0
135,0
136,0
137,3
138,1
139,3
140,6
141,4
142,3
143,7
144,3
145,1
146,8
147,4
148,4
149,1
150,8
151,7
152,3
153,3
154,3
155,3
156,1
157,7
158,3
159,7
160,8
161,3
162,0
163,7
164,3
165,1
166,8
167,7
168,6
169,3
170,0
171,0
172,7
173,7
174,6
175,1
176,3
177,7
178,4
179,1
180,6
181,4
182,8
183,3
184,6
185,7
186,4
187,1
188,1
189,1
190,0
191,6
192,8
193,7
194,4
195,6
196,0
197,7
198,7
199,0
200,7
201,1
202,7
203,0
204,7
205,7
206,0
207,8
208,4
209,6
210,6
211,0
212,7
213,3
214,6
215,7
216,8
217,1
218,6
219,3
220,7
221,6
222,3
223,1
224,0
225,6
226,3
227,1
228,6
229,1
230,0
231,0
232,7
233,7
234,1
235,7
236,3
237,6
238,3
239,8
240,6
241,3
242,6
243,8
244,3
245,7
246,3
247,7
248,4
249,3
250,6
251,4
252,4
253,1
254,3
255,8
256,7
257,3
258,1
259,7
260,3
261,6
262,3
263,8
264,3
265,7
266,0
267,6
268,8
269,3
270,1
271,6
272,0
273,6
274,3
275,7
276,4
277,1
278,3
279,8
280,7
281,0
282,7
283,6
284,0
285,3
286,3
287,7
288,1
289,4
290,7
291,8
292,7
293,7
294,7
295,7
296,6
297,3
298,0
299,3
300,3
301,6
302,7
303,8
304,8
305,6
306,8
307,7
308,8
309,7
310,3
311,8
312,6
313,7
314,3
315,0
316,3
317,7
318,7
319,1
320,1
321,4
322,1
323,1
324,7
325,8
326,7
327,3
328,1
329,3
330,8
331,6
332,3
333,1
334,3
335,0
336,7
337,0
338,3
339,6
340,3
341,6
342,6
343,1
344,8
345,6
346,0
347,3
348,3
349,3
350,8
351,6
352,7
353,7
354,8
355,7
356,8
357,3
358,4
359,0
360,1
361,3
362,6
363,3
364,8
365,7
366,6
367,3
368,8
369,1
370,6
371,7
372,3
373,4
374,7
375,7
376,6
377,4
378,3
379,3
380,7
381,6
382,1
383,3
384,4
385,6
386,6
387,8
388,1
389,3
390,7
391,1
392,7
393,4
394,4
395,6
396,1
397,1
398,1
399,7
400,3
401,4
402,7
403,6
404,1
405,1
406,1
407,4
408,3
409,3
410,3
411,3
412,0
413,7
414,1
415,1
416,4
417,1
418,1
419,3
420,3
421,4
422,3
423,6
424,3
425,3
426,1
427,7
428,7
429,7
430,7
431,4
432,8
433,3
434,6
435,6
436,1
437,3
438,4
439,3
440,0
441,8
442,4
443,7
444,7
445,7
446,4
447,1
448,1
449,3
450,7
451,7
452,7
453,6
454,7
455,3
456,4
457,1
458,3
459,1
460,3
461,1
462,7
463,3
464,0
465,7
466,1
467,7
468,7
469,4
470,1
471,1
472,7
473,4
474,3
475,3
476,0
477,1
478,3
479,1
480,0
481,7
482,3
483,1
484,6
485,7
486,4
487,7
488,8
489,3
490,7
491,4
492,7
493,3
494,7
495,1
496,7
497,3
498,3
499,6
500,0
501,6
502,3
503,7
504,4
505,8
506,8
507,3
508,3
509,0
510,6
511,7
512,3
513,3
514,4
515,3
516,8
517,1
518,7
519,7
520,6
521,6
522,4
523,0
524,7
525,7
526,1
527,0
528,1
529,1
530,7
531,0
532,7
533,3
534,8
535,7
536,3
537,0
538,3
539,7
540,3
541,0
542,3
543,8
544,1
545,0
546,3
547,0
548,7
549,6
550,1
551,8
552,3
553,0
554,3
555,3
556,0
557,4
558,7
559,6
560,8
561,0
562,3
563,8
564,1
565,6
566,3
567,8
568,1
569,1
570,4
571,4
572,7
573,3
574,3
575,0
576,4
577,1
578,6
579,7
580,6
581,3
582,1
583,6
584,6
585,7
586,1
587,7
588,3
589,8
590,0
591,8
592,8
593,8
594,3
595,3
596,6
597,6
598,6
599,0
600,3
601,1
602,1
603,7
604,1
605,1
606,6
607,8
608,3
609,6
610,1
611,7
612,7
613,3
614,3
615,6
616,7
617,4
618,0
619,0
620,4
621,8
622,3
623,7
624,7
625,3
626,3
627,1
628,3
629,6
630,7
631,6
632,1
633,8
634,6
635,1
636,4
637,7
638,7
639,8
640,3
641,6
642,4
643,7
644,6
645,7
646,7
647,7
648,4
649,1
650,8
651,7
652,7
653,3
654,0
655,8
656,6
657,7
658,3
659,3
660,7
661,6
662,3
663,7
664,0
665,4
666,8
667,1
668,3
669,3
670,6
671,3
672,7
673,7
674,3
675,3
676,7
677,7
